month,total_signals,successful_signals,failed_signals,success_rate,total_monthly_return
2024-01,188,153,35,81.4,12040
2024-02,139,121,18,87.1,9800
2024-03,153,133,20,86.9,11200
2024-04,137,125,12,91.2,10780
2024-05,135,121,14,89.6,10220
2024-06,117,108,9,92.3,9000
2024-07,121,110,11,90.9,9320
2024-08,144,129,15,89.6,11100
2024-09,130,115,15,88.5,9520
2024-10,125,109,16,87.2,8920
2024-11,120,105,15,87.5,8100
2024-12,121,105,16,86.8,8200
2025-01,124,104,20,83.9,7880
2025-02,112,97,15,86.6,7400
2025-03,124,105,19,84.7,7880
2025-04,120,97,23,80.8,7300
2025-05,89,74,15,83.1,5680
